DBN,School Name,Eligibility,Year,Total Enrollment,GRADES,Grade 5enrol,Grade 6Enrol,Grade 7,Grade 8,Total 6-8 enrollment,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Other,% Other,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Needs Index,2015-16 grade 6 applicants - GE,2015-16 grade 6 seats - GE,2015-16 grade 6 applicants - SWD,2015-16 grade 6 seats - SWD,admissions priorities,selection criteria,School uniform,language other than English taught,pct_students_met_state_std_ELA,pct_students_met_state_std_Math,ADDRESS,ZIP,coords.x1,coords.x2,City,latitude,longitude
01M539,"New Explorations into Science, Technology and Math",City-wide,2015-16,1753,"0K,01,02,03,04,05,06,07,08,09,10,11,12",116,144,122,137,403,885,0.505,868,0.495,579,0.33,153,0.087,198,0.113,91,0.052,732,0.418,82,0.047,7,0.004,478,0.273,0.254,1000,130,40,24,1. Priority to continuing 5th grade students; 2. Then to NYC residents. Last year this program admitted students from all priority groups.,Attendance; Entrance Exam; Final 4th Grade report Card; 4th Grade New York State ELA and Math Exams.,Y,"French, Spanish, Chinese(Mandarin)",0.921,0.949,111 COLUMBIA STREET,10002,989902.5444,201255.8721,New York,40.7195002,-73.9792392
01M839,Tompkins Square Middle School,Dist1,2015-16,371,"06,07,08",0,127,124,120,371,195,0.526,176,0.474,87,0.235,59,0.159,138,0.372,12,0.032,75,0.202,90,0.243,11,0.03,257,0.693,0.581,392,88,129,34,NA,"Academic and Personal Behaviors; Attendance. Group interview; Priority to Siblings; Punctuality. This program will see where you rank it on your child¨¹s application, this influences how the program evaluates your child¨¹s application.",N,Spanish,0.477,0.465,600 EAST  6 STREET,10009,989501.947,203045.3076,New York,40.7237469,-73.9816019
02M225,Ella Baker School,City-wide,2015-16,335,"PK,0K,01,02,03,04,05,06,07,08",38,24,23,27,74,174,0.519,161,0.481,12,0.036,62,0.185,124,0.37,19,0.057,118,0.352,74,0.221,10,0.03,134,0.4,0.319,NA,NA,NA,NA,NA,NA,N,Spanish,0.44,0.255,317 EAST  67 STREET,10065,995464.966,218123.355,New York,40.7653683,-73.9596962
02M255,M.S. 255 Salk School of Science,Dist2,2015-16,374,"06,07,08",0,129,121,124,374,229,0.612,145,0.388,70,0.187,12,0.032,35,0.094,23,0.061,234,0.626,52,0.139,0,0,42,0.112,0.114,615,107,61,24,NA,Academic and Personal Behaviors; Attendance; Final 4th Grade Report Card; Interview; Math Exercise; Punctuality; Sciency Activity; 4th Grade New York State ELA and Math Exams; Writing Exercise,N,Spanish,0.897,0.896,319 EAST 19 STREET,10003,989362.6104,207101.7288,New York,40.735118,-73.9816969
02M260,M.S. 260 Clinton School Writers & Artists,Dist2,2015-16,376,"06,07,08",0,93,92,98,283,272,0.723,104,0.277,52,0.138,22,0.059,38,0.101,18,0.048,246,0.654,66,0.176,3,0.008,376,1,0.185,899,73,87,17,NA,Academic and Personal Behaviors; Attendance; Final 4th Grade Report Card; Interview; Punctuality; 4th Grade New York State ELA and Math Exams; Writing Exercise; Math Exercise. This program will see where you rank it on your child¨¹s application; this influences how the program evaluates your child¨¹s application.,N,Spanish,0.758,0.704,425 WEST 33RD STREET,10001,984835.7302,213747.4967,New York,40.7533889,-73.9978955
02M347,The 47 American Sign Language & English Lower Scho,City-wide,2015-16,189,"PK,0K,01,02,03,04,05,06,07,08",19,11,6,11,28,93,0.492,96,0.508,7,0.037,42,0.222,87,0.46,9,0.048,44,0.233,111,0.587,12,0.063,127,0.672,0.578,302,24,47,6,1. Priority to continuing 5th grade students; 2. Then to NYC residents. Last year this program admitted students from all priority groups.,Attendance; Final 4th Grade Report Card; Punctuality; 4th Grade New York State ELA and Math Exams Interview,N,N,0.307,0.135,223 EAST 23 STREET,10010,989435.8137,208258.7685,New York,40.738621,-73.9815343
02M407,Institute for Collaborative Education,City-wide,2015-16,484,"06,07,08,09,10,11,12",0,65,64,73,202,237,0.49,247,0.51,33,0.068,76,0.157,77,0.159,33,0.068,265,0.548,36,0.074,0,0,88,0.182,0.267,NA,NA,NA,NA,NA,NA,N,Spanish,0.593,0.484,345 EAST  15TH STREET,10003,988979.8123,206183.0618,New York,40.7326759,-73.9825764
02M413,School of the Future High School,Dist2,2015-16,747,"06,07,08,09,10,11,12",0,112,94,102,308,373,0.499,374,0.501,113,0.151,83,0.111,216,0.289,61,0.082,274,0.367,137,0.183,6,0.008,270,0.361,0.336,500,82,93,18,NA,Attendance; Final 4th Grade Report Card; Group interview; Punctuality; 4th Grade New York State ELA and Math Exams.,N,Spanish,0.658,0.643,127 EAST  22 STREET,10010,988323.2753,208550.3815,New York,40.7390867,-73.9853658
02M442,"Ballet Tech, NYC Public School for Dance",City-wide,2015-16,152,"04,05,06,07,08",44,25,20,23,68,81,0.533,71,0.467,55,0.362,38,0.25,24,0.158,6,0.039,29,0.191,5,0.033,0,0,152,1,0.454,NA,NA,NA,NA,NA,NA,N,Spanish,0.75,0.865,890 BROADWAY,10003,987117.396,208363.3001,New York,40.7385401,-73.9894855
03M859,Special Music School,City-wide,2015-16,277,"0K,01,02,03,04,05,06,07,08",15,16,15,16,47,140,0.505,137,0.495,44,0.159,37,0.134,40,0.144,36,0.13,120,0.433,38,0.137,2,0.007,52,0.188,0.275,NA,NA,NA,NA,NA,NA,N,Spanish,0.934,0.944,129 WEST  67 STREET,10023,988965.0001,221723.9998,New York,40.7752206,-73.9829968
04M012,Tag Young Scholars,City-wide,2015-16,561,"0K,01,02,03,04,05,06,07,08",99,57,61,52,170,283,0.504,278,0.496,193,0.344,139,0.248,109,0.194,38,0.068,82,0.146,30,0.053,1,0.002,264,0.471,0.398,NA,NA,NA,NA,NA,NA,Y,Spanish,0.933,0.923,240 EAST 109 STREET,10029,1000412.722,228019.8851,New York,40.7925899,-73.9421187
04M224,M.S. 224 Manhattan East School for Arts & Academic,Borough-wide,2015-16,166,"06,07,08",0,48,47,71,166,89,0.536,77,0.464,9,0.054,60,0.361,84,0.506,1,0.006,12,0.072,31,0.187,4,0.024,116,0.699,0.691,395,60,98,18,1. Priority to students and residents of District 4; 2. Then to students and residents of Manhattan. Last year this program admitted students from all priority groups.,Academic and Personal Behaviors; Attendance; Interview; Manhattan East Math Test; Manhattan East Writing Test; 4th Grade New York State ELA and Math Exams.,N,Spanish,0.433,0.331,410 EAST 100 STREET,10029,1000206.937,225387.1264,New York,40.7850266,-73.9420076
04M610,Young Women's Leadership School,Borough-wide,2015-16,491,"06,07,08,09,10,11,12",0,54,54,53,161,491,1,0,0,44,0.09,121,0.246,296,0.603,12,0.024,18,0.037,93,0.189,9,0.018,395,0.804,0.725,366,38,82,12,All Girls School; open to students and residents of Manhattan,Academic and Personal Behaviors; Final 4th Grade Report Card; 4th Grade New York State ELA and Math Exams; Writing Assignment and Group Interview at Open House.,Y,Spanish,0.413,0.294,105 EAST 106 STREET,10029,998881.7969,228159.9617,New York,40.792935,-73.947168
20K686,Brooklyn School of Inquiry,City-wide,2015-16,521,"0K,01,02",64,96,59,0,155,269,0.516,252,0.484,92,0.177,26,0.05,24,0.046,11,0.021,368,0.706,34,0.065,32,0.061,111,0.213,0.22,1095,58,101,10,1. Priority to continuing 5th grade students; 2. Then to NYC residents. Last year this program admitted students from all priority groups.,Atendance 10%; Final 4th Grade Report Card 35%; New York State Math Exam 17.5%; New York State ELA Exam 17.5%; Academic and Personal Behaviors 20%,N,Spanish,0.854,0.904,50 AVENUE P,11204,987996.2073,160455.6481,New York,40.6070076,-73.9868516
21K239,Mark Twain I.S. 239 for the Gifted & Talented,City-wide,2015-16,1340,"06,07,08",0,470,393,477,1340,716,0.534,624,0.466,375,0.28,96,0.072,68,0.051,79,0.059,722,0.539,130,0.097,10,0.007,371,0.277,0.288,6558,362,348,91,NA,NA,N,"Italian, Spanish",0.842,0.838,2401 NEPTUNE AVENUE,11224,986367.235,150041.8456,New York,40.5786601,-73.9923915
84M202,Great Oaks Charter School,Charter - Dist 1,2015-16,211,"06,07,08,09,10",0,66,79,66,211,88,0.417,123,0.583,46,0.218,50,0.237,109,0.517,1,0.005,5,0.024,65,0.308,14,0.066,172,0.815,0.673,NA,NA,NA,NA,NA,NA,NA,NA,0.303,0.351,"38 Delancey Street,",10002,NA,NA,New York,40.7199351,-73.9916562
84M330,Girls Preparatory Charter School of New York,Charter - Dist 1,2015-16,598,"0K,01,02,03,04,05,06",80,67,45,45,157,598,1,0,0,11,0.018,267,0.446,295,0.493,13,0.022,12,0.02,102,0.171,12,0.02,465,0.778,0.687,NA,NA,NA,NA,NA,NA,NA,NA,0.524,0.444,442 EAST HOUSTON STREET,10002,990536.4039,201474.6065,New York,40.7198704,-73.9773763
02M104,J.H.S. 104 Simon Baruch,Dist2,2015-16,1113,"06,07,08",0,366,401,346,1113,489,0.439353108,624,0.560646892,441,0.396226406,90,0.080862537,235,0.211141065,35,0.031446543,312,0.280323446,192,0.172506735,52,0.046720576,614,0.551662147,0.437720388,950,219,110,49,NA,Academic and Personal Behaviors; Attendance; Final 4th Grade Report Card; Punctuality; Ranking of School; 4th Grade New York State ELA and Math Exams.,N,"French, Spanish",0.608,0.642,330 EAST  21 STREET,10010,989628.0281,207357.6887,New York,40.7357349,-73.9806113
02M114,East Side Middle School,Dist2,2015-16,441,"06,07,08",0,149,142,150,441,230,0.521541953,211,0.478458047,66,0.149659857,13,0.029478459,40,0.090702951,32,0.072562359,290,0.65759635,62,0.140589565,0,0,40,0.090702951,0.08353392,569,122,57,27,This school will give priority to applicants eligible for Free and Reduced Lunch (FRL) for 10 percent of seats,Academic and Personal Behaviors; Attendance; Final 4th Grade Report Card; Interview; Math Exercise; Punctuality; 4th Grade New York State ELA and Math Exams; Writing Prompt,N,Spanish,0.926,0.94,331 EAST 91ST STREET,10128,998824.5565,223600.5511,New York,40.7806455,-73.9475442
02M126,P.S. 126 Jacob August Riis,Dist2,2015-16,759,"PK,0K,01,02,03,04,05,06,07,08",55,121,109,109,339,363,0.478260875,396,0.521739125,445,0.58629775,84,0.110671937,157,0.206851125,15,0.019762846,58,0.076416336,128,0.168642953,131,0.172595516,607,0.7997365,0.718820214,438,91,60,20,1. Priority to continuing 5th grade students; 2. Then to students residing in elementary school zone; 3. Then to students and residents of District 2. Last year this program admitted students from all priority groups.,Academic and Personal Behaviors; Attendance; Final 4th Grade Report Card; Interview; Punctuality; 4th Grade New York State ELA and Math Exams; Writing Prompt and Math Exercise,N,Spanish,0.563,0.672,80 CATHERINE STREET,10038,985099.1915,198162.3597,New York,40.7104484,-73.9970013
02M131,M.S. 131 - Zoned Program,Borough-wide,2015-16,420,"06,07,08",0,111,166,143,420,185,0.440476179,235,0.559523821,324,0.771428585,34,0.080952384,60,0.142857149,0,0,2,0.004761905,115,0.273809522,145,0.34523809,401,0.954761922,0.800271511,199,106,43,24,1. Priority to students residing in the zone; 2. Then to students and residents of District 2. Last year this program admitted students from all priority groups.,Academic and Personal Behaviors; Attendance; Final 4th Grade Report Card; Punctuality; 4th Grade New York State ELA and Math Exams.,N,Chinese(Mandarin),0.303,0.46,100 HESTER STREET,10002,985976.7641,200294.9167,New York,40.7162131,-73.9935545
02M131,M.S. 131 - Special Program,Borough-wide,2015-16,420,"06,07,08",0,111,166,143,420,185,0.440476179,235,0.559523821,324,0.771428585,34,0.080952384,60,0.142857149,0,0,2,0.004761905,115,0.273809522,145,0.34523809,401,0.954761922,0.800271511,152,41,9,10,NA,Academic and Personal Behaviors; Attendance; Final 4th Grade Report Card; Punctuality; 4th Grade New York State ELA and Math Exams.,N,Chinese(Mandarin),0.303,0.46,100 HESTER STREET,10002,985976.7641,200294.9167,New York,40.7162131,-73.9935545
02M131,M.S. 131 - Mandarin Dual Language Program,Borough-wide,2015-16,420,"06,07,08",0,111,166,143,420,185,0.440476179,235,0.559523821,324,0.771428585,34,0.080952384,60,0.142857149,0,0,2,0.004761905,115,0.273809522,145,0.34523809,401,0.954761922,0.800271511,121,49,33,11,"Preference is given to the following students: English Language Learners (ELLs), Heritage Language Speakers of the target language, Participants of elementary school level Dual Language and Transitional Bilingual Education programs in the target language.","This program will see where you rank it on your child¨¹s application, this influences how the program evaluates your child¨¹s application.",N,Chinese(Mandarin),0.303,0.46,100 HESTER STREET,10002,985976.7641,200294.9167,New York,40.7162131,-73.9935545
02M167,J.H.S. 167 Robert F. Wagner - Academic (Zoned Program),Dist2,2015-16,1343,"06,07,08",0,435,423,485,1343,634,0.472077429,709,0.527922571,372,0.276991814,112,0.083395384,251,0.186895013,46,0.034251675,562,0.418466121,242,0.180193603,52,0.038719285,588,0.437825769,0.313981324,820,164,120,36,1. Priority students residing in the zone; 2. Then to students and residents of District 2. Last year this program admitted students from all priority groups.,Academic and Personal Behaviors; Attendance; Final 4th Grade Report Card; Punctuality; Ranking of school; 4th Grade New York State ELA and Math Exams. This program will see where you rank it on your child¨¹s application; this influences how the program evaluates your child¨¹s application.,N,Spanish,0.661,0.703,220 EAST  76 STREET,10021,995848.1572,220479.0489,New York,40.7718269,-73.9579403
02M167,J.H.S. 167 Robert F. Wagner - Special Program,Dist2,2015-16,1343,"06,07,08",0,435,423,485,1343,634,0.472077429,709,0.527922571,372,0.276991814,112,0.083395384,251,0.186895013,46,0.034251675,562,0.418466121,242,0.180193603,52,0.038719285,588,0.437825769,0.313981324,979,233,84,52,NA,Academic and Personal Behaviors; Attendance; Final 4th Grade Report Card; Punctuality; Ranking of school; 4th Grade New York State ELA and Math Exams. This program will see where you rank it on your child¨¹s application; this influences how the program evaluates your child¨¹s application.,N,Spanish,0.661,0.703,220 EAST  76 STREET,10021,995848.1572,220479.0489,New York,40.7718269,-73.9579403
02M177,Yorkville East Middle School - Limited Unscreened,Dist2,2015-16,142,"06,07,08",0,84,58,0,142,64,0.450704217,78,0.549295783,16,0.112676054,15,0.105633803,42,0.295774639,9,0.063380279,60,0.422535211,40,0.28169015,2,0.014084507,52,0.366197169,0.237197727,214,33,43,8,1. Priority to students and residents of District 2 who sign in an event; 2. Then to students and residents of District 2. Last year this program admitted students from all priority groups.,Students who apply to this program will be randomly selected in the order of the priority groups listed above.,N,Spanish,0.515,0.687,1458 York Avenue,10075,NA,NA,New York,40.770203,-73.9507299
02M177,Yorkville East Middle School - Screened,Dist2,2015-16,142,"06,07,08",0,84,58,0,142,64,0.450704217,78,0.549295783,16,0.112676054,15,0.105633803,42,0.295774639,9,0.063380279,60,0.422535211,40,0.28169015,2,0.014084507,52,0.366197169,0.237197727,249,32,42,8,Open to students and residents of District 2.,Academic and Personal Behaviors; Attendance; Final 4th Grade Report Card; Interview; 4th Grade New York State ELA and Math Exams; Writing Exercise,N,Spanish,0.515,0.687,1458 York Avenue,10075,NA,NA,New York,40.770203,-73.9507299
02M217,P.S./I.S. 217 Roosevelt Island,Dist2,2015-16,587,"PK,0K,01,02,03,04,05,06,07,08",58,22,24,17,63,283,0.482112437,304,0.517887592,171,0.291311741,92,0.156729132,84,0.143100515,27,0.045996591,213,0.362862021,68,0.115843274,43,0.073253833,206,0.350936979,0.244574249,40,44,5,10,1. Priority to continuing 5th grade students; 2. Then to students residing in the zone; 3. Then to students and residents of District 2. Last year this program admitted students from all priority groups.,Academic and Personal Behaviors; Attendance; Final 4th Grade Report Card; Interview; Math Exercise; Punctuality; 4th Grade New York State ELA and Math Exams; Writing Prompt,N,Spanish,0.544,0.579,645 MAIN STREET,10044,998580.1472,217620.6175,New York,40.7639687,-73.9484678
02M276,Battery Park City School,Dist2,2015-16,872,"PK,0K,01,02,06",114,93,91,65,249,418,0.479357809,454,0.520642221,179,0.205275223,38,0.04357798,95,0.108944952,69,0.079128437,491,0.563073397,136,0.155963302,19,0.02178899,58,0.066513762,0.105812222,231,81,54,16,1. Priority to continuing 5th grade students; 2. Then to students residing in elementary school zone who sign in an event; 3. Then to students residing in elementary school zone; 4. Then to students and residents of District 2 who sign in an event; 5. Then to students and residents of District 2. Last year this program admitted students from all priority groups.,Students who apply to this program will be randomly selected in the order of the priority groups listed above.,N,Spanish,0.714,0.65,55 BATTERY PLACE,10001,979361.8168,196585.1144,New York,40.7065629,-74.0175278
02M289,Hudson River Middle School I.S. 289,Dist2,2015-16,289,"06,07,08",0,99,100,90,289,158,0.546712816,131,0.453287184,111,0.384083033,24,0.083044983,37,0.128027678,7,0.024221454,110,0.380622834,53,0.183391005,3,0.010380623,121,0.418685108,0.395533144,577,77,82,17,NA,Academic and Personal Behaviors; Attendance; Exceptional Circumstances; Interview; Punctuality; Ranking of School,N,Spanish,0.688,0.68,201 WARREN STREET,10282,980470.8351,200576.2275,New York,40.7168673,-74.0136226
02M297,M.S. 297,Dist2,2015-16,NA,"06,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,NA,NA,75 Morton Street,10014,NA,NA,New York,40.731204,-74.0074039
02M312,New York City Lab Middle School for Collaborative,Dist2,2015-16,551,"06,07,08",0,190,177,184,551,271,0.491833031,280,0.508166969,258,0.468239576,13,0.023593467,41,0.074410163,50,0.090744101,189,0.343012691,84,0.152450085,4,0.007259528,156,0.283121586,0.296467513,616,162,62,36,NA,Attendance; Group Activity; Lab Middle School ELA Exam; Lab Middle School Math Exam; Punctuality. This program will see where you rank it on your child¨¹s application; this influences how the program evaluates your child¨¹s application.,N,Spanish,0.87,0.917,333 WEST  17 STREET,10011,983680.812,209707.939,New York,40.7425709,-74.0023709
02M397,Spruce Street School,Dist2,2015-16,443,"0K,01",46,63,0,0,63,217,0.489841998,226,0.510158002,61,0.137697518,12,0.027088037,55,0.124153502,57,0.128668174,258,0.582392752,66,0.148984194,9,0.020316027,49,0.110609479,0.073633134,224,49,43,11,1. Priority to continuing 5th grade students; 2. Then to students residing in elementary school zone who sign in an event; 3. Then to students residing in elementary school zone; 4. Then to students and residents of District 2 who sign in an event; 5. Then to students and residents of District 2. Last year this program admitted students from all priority groups.,Students who apply to this program will be randomly selected in the order of the priority groups listed above.,N,N,0.708,0.724,12 SPRUCE STREET,10007,982696.6075,198290.8563,New York,40.7110565,-74.0053612
02M408,Professional Performing Arts High School,City-wide,2015-16,546,"06,07,08,09,10,11,12",0,33,29,32,94,407,0.745421231,139,0.254578769,26,0.047619049,124,0.227106228,110,0.201465204,48,0.08791209,238,0.43589744,66,0.120879121,1,0.001831502,182,0.333333343,0.340943336,1657,24,263,6,NA,Attendance; Audition; Final 4th Grade Report Card; Punctuality; 4th Grade New York State ELA and Math Exams.,N,Spanish,0.87,0.849,328 WEST  48 STREET,10036,987441.9641,216682.5301,New York,40.7613287,-73.9886685
02M422,Quest to Learn,Dist2,2015-16,662,"06,07",0,108,87,117,312,210,0.317220539,452,0.682779431,72,0.108761333,127,0.191842899,232,0.350453168,38,0.057401814,193,0.291540772,209,0.315709978,19,0.028700907,296,0.447129905,0.432639599,212,88,57,12,1. Priority to students and residents of District 2 who sign in an event; 2. Then to students and residents of District 2. Last year this program admitted students from all priority groups.,Students who apply to this program will be randomly selected in the order of the priority groups listed above.,N,Spanish,0.381,0.345,351 WEST  18 STREET,10011,983611.8376,210156.4219,New York,40.7433678,-74.0025475
02M655,Life Sciences Secondary School,Dist2,2015-16,616,"06,07,08,09,10,11,12",0,19,24,36,79,297,0.482142866,319,0.517857134,30,0.048701297,191,0.310064942,369,0.599025965,15,0.024350649,11,0.017857144,131,0.212662339,40,0.064935066,444,0.72077924,0.747779906,73,54,37,10,NA,Academic and Personal Behaviors; Attendance; Final 4th Grade Report Card; Punctuality; 4th Grade New York State ELA and Math Exams. This program will see where you rank it on your child¨¹s application; this influences how the program evaluates your child¨¹s application.,Y,Spanish,0.067,0.053,320 EAST  96 STREET,10128,999232.031,224660.5186,New York,40.7832825,-73.9459371
02M896,Lower Manhattan Community Middle School,Dist2,2015-16,388,"06,07,08",0,131,129,128,388,198,0.510309279,190,0.489690721,156,0.40206185,36,0.092783503,77,0.198453605,13,0.033505153,106,0.273195863,109,0.280927837,30,0.077319585,214,0.551546395,0.506854415,428,98,88,22,NA,Academic and Personal Behaviors; Attendance; Final 4th Grade Report Card; This program will see where you rank it on your child¨¹s application; this influences how the program evaluates your child¨¹s application.,N,Spanish,0.473,0.552,26 BROADWAY,10004,980653.3584,196212.1794,New York,40.7054423,-74.0128882
02M933,City Knoll Middle School,Dist2,2015-16,157,"06,07",0,75,82,0,157,91,0.579617858,66,0.420382172,15,0.095541403,31,0.197452232,74,0.471337587,6,0.038216561,31,0.197452232,43,0.273885339,11,0.070063695,107,0.681528687,0.550849617,136,71,32,10,1. Priority to students and residents of District 2 who sign in an event; 2. Then to students and residents of District 2. Last year this program admitted students from all priority groups.,Students who apply to this program will be randomly selected in the order of the priority groups listed above.,N,Spanish,0.273,0.276,425 West 23rd Street,10001,NA,NA,New York,40.7470909,-74.0021948
