,Org.Nam,Lat,Lon,Address,Type,primary.purpose,Phone.Number,Email,Audience,Neighborhoods
37,Hebrew Language Academy Charter School,40.678092,-73.942177,2186 Mill Avenue,Institution,Public Hebrew language school,718.377.7200,,Children K-6th,
38,Jewish Children's Museum,40.668856,-73.942177,792 Eastern Parkway,Institution,Museum,718-467-0600,,Children,
39,Kane Street Synagogue,40.685373,-73.995251,"236 Kane St, Brooklyn, NY ",Institution,Conservative Synagogue,718-875-1550,rabbi@kanestreet.org,all,
40,Kings Bay Y - main,40.598563,-73.94126,3495 Nostrand Avenue ,Institution,Community center / social services,(718) 648-7703,,All ages,"Sheepshead Bay, Midwood, Marine Park"
41,Kings Bay Y @ Windsor Terrace,40.653127,-73.976696,1224 Prospect Ave,Institution,Preschool - 3rd Grade,(718) 648-7703,,Williamsburg,
42,Kings Bay Y @North Williamsburg,40.713424,-73.957536,"14 Hope Street, Suite 1",Institution,Preschool; After school,(718) 648-7703,,"Windsor Terrace, Kensington",
43,Kings Bay Y Fort Greene/Clinton Hill,40.686727,-73.962338,"309 Grand Ave, Brooklyn, NY 11238",Institution,Preschool,(718) 648-7703,,Fort Greene/Clinton Hill,Child care
44,Kolot Chayeinu,40.665165,-73.980038,1012 Eighth Avenue,Institution,Synagogue - Unaffiliated,718-354-8224,rabbi@kolotchayeinu.org,all,
45,Luria Academy,40.613743,-73.912332,238 St. Marks Avenue ,Institution,Jewish day school,718-398-3290,,school age children,
46,Park Slope Jewish Center,40.663101,-73.981656,1320 8th Avenue,Institution,Conservative syngagogue/congregation,718.768.1453,,all,
47,Prospect Heights Shul,40.6785383,-73.9678099,235 St Marks Ave,Institution,Synagogue - Orthodox,,,all,
48,"Temple Beth Emeth v'Ohr Progressive Shaari Zedek",40.648081,-73.965425,,Institution,Reform Synagogue/congregation,718-282-1596,templebeth83@aol.com,all,
49,Union Temple of Brooklyn,40.67323,-73.968163,17 Eastern Parkway,Institution,Reform synagogue/congregation,(718) 638-7600,,all,
50,Altshul,40.67084,-73.974738,"Beth Elohim, 274 Garfield Place, Brooklyn, NY",Minyan,Egalitarian minyan,"Beth Elohim, 274 Garfield Place",,all,Park Slope and Nearby Areas
51,Chevra Ahavas Yisroel,40.670101,-73.939502,"306 Albany Ave Brooklyn, New York 11213",Minyan,Orthodox Shul,306 Albany Ave.,11213,observant,Crown Heights/Prospect Heights 
52,Chevra Ahavas Yisroel,40.670101,-73.939502,"306 Albany Ave Brooklyn, New York 11213",Minyan,Synagogue - Orthodox,,,all,
53,Bedstuy Bonim,40.682266,-73.929322,"308 Malcom X Blvd., Brooklyn NY",Minyan,Friday night dinners,"308 Malcom X Blvd., Brooklyn",,families; young adults,Bedstuy and Bushwick
54,Brooklyn Beit Midrash,40.673415,-73.947116,"919 park place, apt 3f, brooklyn",Minyan,Jewish learning,"919 park place, apt 3f,",,,Crown Heights
55,Kavod Minyan,40.671083,-73.950804,808 Nostrand Ave Brooklyn NY,Minyan,Monthly Shabat service,808 Nostrand Ave.,,observant,Crown Heights
56,Atara Minyan,40.620902,-73.950804,808 Nostrand Ave Brooklyn NY,Minyan,Egalitarian minyan,"2220 Avenue L Corner of East 23rd Street(Could be out of date)",11210,,Midwood (should this be in list?)
57,Mishkan Minyan,40.6781784,-73.9441579,N/A,Minyan,Home-based monthly shabbat,N/A,,,Crown Heights
58,Base Hillel,40.711487,-73.946301,,Community Based Institution,Pluralistic events for young adults,,,young adults,"Williamsburg"
59,Shir HaMaalot,40.673271,-73.968185,"17 Eastern Pkwy, 11238",Minyan,Monthly Shabat service,17 Eastern Pkwy,11238,,Crown Heights/Park Slope
60,Womens Chavura,40.677576,-73.957543,899 Bergen Street,Minyan,Women's Tifillah group,899 Bergen Street,,women,Crown Heights/BedStuy
62,Romemu - Brooklyn,40.676353,-73.974708,186 St. John's Street,Minyan,Community minyan,186 St. John's Street,,families,Park Slope 
63,Lab Shul,40.706425,-74.006145,"125 MAIDEN LANE, SUITE 8B NEW YORK, NY 10038",Minyan,Artist driven spiritual events for all ages,,,all,
